year,target,accuracy,roc_auc,precision,recall,f1,best_params,cv_roc_auc
2008,High_Payer_Cost,0.7906672678088368,0.6852472876267535,0.21968121968121967,0.42915162454873645,0.2906035141329259,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",0.6920557324848738
2008,High_OOP_Burden,0.7989179440937781,0.7037738341467217,0.23719298245614034,0.45820153637596023,0.312577065351418,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",0.6935398483325638
2009,High_Payer_Cost,0.8662759242560866,0.8344435175304352,0.3727488956846755,0.4948128101037438,0.4251937984496124,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",0.8324217350847141
2009,High_OOP_Burden,0.8773219116321009,0.8983926384384998,0.42800565770862803,0.683996383363472,0.5265355837828433,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",0.8991162312975559
2010,High_Payer_Cost,0.8582957619477006,0.7851164030994553,0.32233307751343054,0.37889039242219213,0.3483309143686502,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",0.7828835395618245
2010,High_OOP_Burden,0.8434625788999098,0.823788532917607,0.31462333825701627,0.4803788903924222,0.3802213495180293,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 300}",0.8243536217357236
