target,accuracy,roc_auc,precision,recall,f1,confusion_matrix,year
High_Payer_Cost,0.8256086564472498,0.6646379435149333,0.25,0.37274368231046934,0.29927536231884055,"[[17486  2478]
 [ 1390   826]]",2008
High_OOP_Burden,0.834761045987376,0.6709206657319869,0.26864244741873805,0.3809308630817894,0.31508129321622125,"[[17672  2295]
 [ 1370   843]]",2008
High_Payer_Cost,0.7390892696122633,0.8333118343812012,0.2413793103448276,0.7514659449706811,0.3653909419892532,"[[14727  5236]
 [  551  1666]]",2009
High_OOP_Burden,0.8045987376014427,0.8988002186862453,0.31643598615916957,0.8268535262206148,0.4577077077077077,"[[16017  3951]
 [  383  1829]]",2009
High_Payer_Cost,0.6733994589720469,0.7742741301900171,0.19418420732449204,0.7198917456021651,0.3058643158298199,"[[13340  6623]
 [  621  1596]]",2010
High_OOP_Burden,0.7045085662759243,0.8140793666297987,0.22102148462627041,0.7749210645015787,0.34394394394394395,"[[13908  6055]
 [  499  1718]]",2010
