family,LR,RF,XGB
Geography,96.75645897228242,5.486851479505119,14.771841926217864
Disease,1.0558298001349309,22.53391001565089,21.97201455758413
Cost,0.7348897427905705,41.85549795607758,22.33235653066454
Demographics,0.5412683674190663,3.957332330183604,1.5346014457060324
Utilization,0.4847719785081592,16.433876477708644,20.1629366819146
Chronic Count,0.2578669175283298,5.552585779855238,8.132731315218148
Coverage,0.1501824596713236,2.576337100749762,1.3474331889118247
Risk,0.0187317616652028,1.6036088602691636,9.746084353782862
