index,feature,importance,family
27,2008_num_carrier_claims,0.1822902,Utilization
41,2008_total_carrier_beneficiary_cost,0.102771714,Cost
58,2008_High_OOP_Burden,0.08427784,Risk
39,2008_total_carrier_insurance_cost,0.075590804,Cost
31,2008_num_op_claims,0.06527648,Utilization
10,2008_has_Injury/Frailty Burden,0.039857235,Disease
57,2008_High_Payer_Cost,0.03954504,Risk
50,2008_total_raw_drug_cost,0.02697684,Cost
5,2008_max_op_chronic_code_counts,0.023226684,Chronic Count
51,2008_total_outpatient_insurance_cost_adj,0.02256211,Cost
33,2008_num_pde_claims,0.021068778,Utilization
0,BENE_ESRD_IND,0.0164165,Disease
48,2008_total_outpatient_beneficiary_cost,0.014296648,Cost
7,2008_has_COPD,0.012787336,Disease
21,2008_has_Additional Hematologic burden,0.010754302,Disease
25,2008_has_CKD,0.010279676,Disease
11,2008_has_Additional cardiovascular burden,0.0099843005,Disease
24,2008_has_Heart Failure,0.009539613,Disease
32,2008_avg_op_claim_duration,0.009429264,Utilization
34,2008_total_days_medsupplied,0.006644144,Utilization
46,2008_avg_outpatient_insurance_cost,0.0066311774,Cost
16,2008_has_Additional neurologic burden,0.006448574,Disease
6,2008_has_Additional endocrine/metabolic burden,0.0058656037,Disease
56,2008_PART_D_INSUR_CVRAGE_TOT_MONS,0.0055623916,Coverage
3,2008_max_carrier_chronic_code_counts,0.005016561,Chronic Count
17,2008_has_Diabetes,0.004655548,Disease
49,2008_total_medoop,0.0045678644,Cost
12,2008_has_Additional mental health burden,0.0037174092,Disease
2,prior_ESRD,0.0036145123,Disease
42,2008_avg_inpatient_beneficiary_cost,0.0035149662,Cost
303,BENE_COUNTY_CD_890,0.003281627,Geography
44,2008_avg_inpatient_insurance_cost,0.0032023697,Cost
377,STATE_AZ,0.0031617228,Geography
14,2008_has_Infectious disease burden,0.0031516012,Disease
13,2008_has_Additional Musculoskeletal Burden,0.0030692804,Disease
77,BENE_COUNTY_CD_170,0.003040979,Geography
103,BENE_COUNTY_CD_280,0.0029467943,Geography
38,2008_avg_carrier_insurance_cost,0.0029302302,Cost
23,2008_has_Depression,0.0028980614,Disease
47,2008_avg_outpatient_beneficiary_cost,0.0028697476,Cost
154,BENE_COUNTY_CD_50,0.0028596595,Geography
242,BENE_COUNTY_CD_780,0.0028178722,Geography
378,STATE_CA,0.0028050228,Geography
53,2008_PART_A_INSUR_CVRAGE_TOT_MONS,0.0027649957,Coverage
143,BENE_COUNTY_CD_440,0.0027327873,Geography
29,2008_num_ip_claims,0.0027308972,Utilization
30,2008_avg_ip_claim_duration,0.0026488584,Utilization
28,2008_avg_carrier_claim_duration,0.0026422015,Utilization
370,RACE_Black,0.0026378676,Demographics
