index,feature,importance,family
20,2008_has_Sensory Burden,0.0026198605,Disease
35,2008_avg_days_supplied_per_pdeclaim,0.0026172285,Utilization
72,BENE_COUNTY_CD_140,0.0025804166,Geography
83,BENE_COUNTY_CD_200,0.0025735293,Geography
389,STATE_IN,0.002534649,Geography
18,2008_has_Additional renal burden,0.0025324153,Disease
383,STATE_FL,0.0024695506,Geography
1,age,0.0024588176,Demographics
40,2008_avg_carrier_beneficiary_cost,0.0024571766,Cost
201,BENE_COUNTY_CD_660,0.0024334802,Geography
209,BENE_COUNTY_CD_690,0.0024298853,Geography
422,STATE_WA,0.0024157062,Geography
410,STATE_OR,0.002386311,Geography
400,STATE_NC,0.002374693,Geography
163,BENE_COUNTY_CD_540,0.0023613817,Geography
388,STATE_IL,0.002345751,Geography
45,2008_total_inpatient_insurance_cost_adj,0.0023337256,Cost
375,STATE_AL,0.0023204272,Geography
37,2008_avg_carrier_reimb_allowed_diff,0.0022782905,Cost
382,STATE_DE,0.002260378,Geography
4,2008_max_ip_chronic_code_counts,0.0022558672,Chronic Count
312,BENE_COUNTY_CD_910,0.0022489035,Geography
390,STATE_KS,0.0022287124,Geography
255,BENE_COUNTY_CD_80,0.0022260153,Geography
73,BENE_COUNTY_CD_141,0.0021790657,Geography
404,STATE_NJ,0.0020864506,Geography
384,STATE_GA,0.0020719287,Geography
43,2008_total_inpatient_beneficiary_cost,0.0020420956,Cost
22,2008_has_Rheumatoid Arthritis/Osteoarthritis,0.0020132873,Disease
424,STATE_WV,0.0019941898,Geography
153,BENE_COUNTY_CD_490,0.0019858468,Geography
15,2008_has_Stroke/TIA,0.0019630527,Disease
115,BENE_COUNTY_CD_320,0.0019561183,Geography
368,SEX_Female,0.0019391683,Demographics
36,2008_avg_carrier_rejected_amt,0.0019382893,Cost
391,STATE_KY,0.0019333131,Geography
408,STATE_OH,0.0018756258,Geography
386,STATE_IA,0.0018736557,Geography
279,BENE_COUNTY_CD_850,0.0018098823,Geography
423,STATE_WI,0.0017884453,Geography
52,2008_claim_processing_burden,0.0017707365,Cost
224,BENE_COUNTY_CD_740,0.0017602085,Geography
136,BENE_COUNTY_CD_400,0.0017386192,Geography
394,STATE_ME,0.0016586761,Geography
376,STATE_AR,0.0016359192,Geography
82,BENE_COUNTY_CD_20,0.0016287841,Geography
421,STATE_VT,0.0015885934,Geography
19,2008_has_Genitourinary (non-renal) burden,0.0015734814,Disease
212,BENE_COUNTY_CD_700,0.0014821681,Geography
59,BENE_COUNTY_CD_0,0.0014397488,Geography
98,BENE_COUNTY_CD_250,0.0014241134,Geography
190,BENE_COUNTY_CD_622,0.0012735681,Geography
100,BENE_COUNTY_CD_260,0.001259648,Geography
179,BENE_COUNTY_CD_590,0.001183797,Geography
54,2008_PART_B_INSUR_CVRAGE_TOT_MONS,0.0010256951,Coverage
298,BENE_COUNTY_CD_883,0.0,Geography
302,BENE_COUNTY_CD_888,0.0,Geography
297,BENE_COUNTY_CD_882,0.0,Geography
299,BENE_COUNTY_CD_884,0.0,Geography
295,BENE_COUNTY_CD_880,0.0,Geography
301,BENE_COUNTY_CD_886,0.0,Geography
296,BENE_COUNTY_CD_881,0.0,Geography
300,BENE_COUNTY_CD_885,0.0,Geography
256,BENE_COUNTY_CD_800,0.0,Geography
304,BENE_COUNTY_CD_891,0.0,Geography
314,BENE_COUNTY_CD_912,0.0,Geography
321,BENE_COUNTY_CD_940,0.0,Geography
320,BENE_COUNTY_CD_932,0.0,Geography
319,BENE_COUNTY_CD_931,0.0,Geography
318,BENE_COUNTY_CD_930,0.0,Geography
317,BENE_COUNTY_CD_921,0.0,Geography
316,BENE_COUNTY_CD_920,0.0,Geography
315,BENE_COUNTY_CD_913,0.0,Geography
313,BENE_COUNTY_CD_911,0.0,Geography
305,BENE_COUNTY_CD_892,0.0,Geography
311,BENE_COUNTY_CD_905,0.0,Geography
310,BENE_COUNTY_CD_903,0.0,Geography
309,BENE_COUNTY_CD_902,0.0,Geography
308,BENE_COUNTY_CD_901,0.0,Geography
307,BENE_COUNTY_CD_900,0.0,Geography
306,BENE_COUNTY_CD_90,0.0,Geography
293,BENE_COUNTY_CD_879,0.0,Geography
294,BENE_COUNTY_CD_88,0.0,Geography
282,BENE_COUNTY_CD_861,0.0,Geography
292,BENE_COUNTY_CD_878,0.0,Geography
264,BENE_COUNTY_CD_821,0.0,Geography
270,BENE_COUNTY_CD_835,0.0,Geography
269,BENE_COUNTY_CD_834,0.0,Geography
323,BENE_COUNTY_CD_942,0.0,Geography
268,BENE_COUNTY_CD_832,0.0,Geography
267,BENE_COUNTY_CD_831,0.0,Geography
266,BENE_COUNTY_CD_830,0.0,Geography
265,BENE_COUNTY_CD_822,0.0,Geography
263,BENE_COUNTY_CD_820,0.0,Geography
291,BENE_COUNTY_CD_876,0.0,Geography
253,BENE_COUNTY_CD_796,0.0,Geography
262,BENE_COUNTY_CD_812,0.0,Geography
254,BENE_COUNTY_CD_797,0.0,Geography
261,BENE_COUNTY_CD_811,0.0,Geography
260,BENE_COUNTY_CD_810,0.0,Geography
259,BENE_COUNTY_CD_803,0.0,Geography
258,BENE_COUNTY_CD_802,0.0,Geography
271,BENE_COUNTY_CD_838,0.0,Geography
272,BENE_COUNTY_CD_84,0.0,Geography
273,BENE_COUNTY_CD_840,0.0,Geography
274,BENE_COUNTY_CD_841,0.0,Geography
290,BENE_COUNTY_CD_875,0.0,Geography
289,BENE_COUNTY_CD_874,0.0,Geography
288,BENE_COUNTY_CD_873,0.0,Geography
287,BENE_COUNTY_CD_872,0.0,Geography
286,BENE_COUNTY_CD_871,0.0,Geography
285,BENE_COUNTY_CD_870,0.0,Geography
284,BENE_COUNTY_CD_867,0.0,Geography
283,BENE_COUNTY_CD_862,0.0,Geography
257,BENE_COUNTY_CD_801,0.0,Geography
281,BENE_COUNTY_CD_860,0.0,Geography
280,BENE_COUNTY_CD_851,0.0,Geography
278,BENE_COUNTY_CD_845,0.0,Geography
277,BENE_COUNTY_CD_844,0.0,Geography
276,BENE_COUNTY_CD_843,0.0,Geography
275,BENE_COUNTY_CD_842,0.0,Geography
322,BENE_COUNTY_CD_941,0.0,Geography
364,BENE_COUNTY_CD_994,0.0,Geography
324,BENE_COUNTY_CD_943,0.0,Geography
380,STATE_CT,0.0,Geography
396,STATE_MN,0.0,Geography
395,STATE_MI,0.0,Geography
393,STATE_MD,0.0,Geography
392,STATE_LA,0.0,Geography
387,STATE_ID,0.0,Geography
385,STATE_HI,0.0,Geography
381,STATE_DC,0.0,Geography
379,STATE_CO,0.0,Geography
398,STATE_MS,0.0,Geography
374,STATE_AK,0.0,Geography
373,RACE_White,0.0,Demographics
372,RACE_Others,0.0,Demographics
371,RACE_Hispanic,0.0,Demographics
369,SEX_Male,0.0,Demographics
367,BENE_COUNTY_CD_999,0.0,Geography
366,BENE_COUNTY_CD_996,0.0,Geography
397,STATE_MO,0.0,Geography
399,STATE_MT,0.0,Geography
251,BENE_COUNTY_CD_794,0.0,Geography
413,STATE_RI,0.0,Geography
420,STATE_VA,0.0,Geography
419,STATE_Unknown,0.0,Geography
418,STATE_UT,0.0,Geography
417,STATE_TX,0.0,Geography
416,STATE_TN,0.0,Geography
415,STATE_SD,0.0,Geography
414,STATE_SC,0.0,Geography
412,STATE_PA,0.0,Geography
401,STATE_ND,0.0,Geography
411,STATE_Others,0.0,Geography
409,STATE_OK,0.0,Geography
407,STATE_NY,0.0,Geography
406,STATE_NV,0.0,Geography
405,STATE_NM,0.0,Geography
403,STATE_NH,0.0,Geography
402,STATE_NE,0.0,Geography
365,BENE_COUNTY_CD_995,0.0,Geography
363,BENE_COUNTY_CD_993,0.0,Geography
325,BENE_COUNTY_CD_944,0.0,Geography
334,BENE_COUNTY_CD_953,0.0,Geography
341,BENE_COUNTY_CD_971,0.0,Geography
340,BENE_COUNTY_CD_970,0.0,Geography
339,BENE_COUNTY_CD_963,0.0,Geography
338,BENE_COUNTY_CD_962,0.0,Geography
337,BENE_COUNTY_CD_961,0.0,Geography
336,BENE_COUNTY_CD_960,0.0,Geography
335,BENE_COUNTY_CD_954,0.0,Geography
333,BENE_COUNTY_CD_952,0.0,Geography
343,BENE_COUNTY_CD_973,0.0,Geography
332,BENE_COUNTY_CD_951,0.0,Geography
331,BENE_COUNTY_CD_950,0.0,Geography
330,BENE_COUNTY_CD_949,0.0,Geography
329,BENE_COUNTY_CD_948,0.0,Geography
328,BENE_COUNTY_CD_947,0.0,Geography
327,BENE_COUNTY_CD_946,0.0,Geography
326,BENE_COUNTY_CD_945,0.0,Geography
342,BENE_COUNTY_CD_972,0.0,Geography
344,BENE_COUNTY_CD_974,0.0,Geography
362,BENE_COUNTY_CD_992,0.0,Geography
354,BENE_COUNTY_CD_984,0.0,Geography
361,BENE_COUNTY_CD_991,0.0,Geography
360,BENE_COUNTY_CD_990,0.0,Geography
359,BENE_COUNTY_CD_989,0.0,Geography
358,BENE_COUNTY_CD_988,0.0,Geography
357,BENE_COUNTY_CD_987,0.0,Geography
356,BENE_COUNTY_CD_986,0.0,Geography
355,BENE_COUNTY_CD_985,0.0,Geography
353,BENE_COUNTY_CD_983,0.0,Geography
345,BENE_COUNTY_CD_975,0.0,Geography
352,BENE_COUNTY_CD_982,0.0,Geography
351,BENE_COUNTY_CD_981,0.0,Geography
350,BENE_COUNTY_CD_980,0.0,Geography
349,BENE_COUNTY_CD_979,0.0,Geography
348,BENE_COUNTY_CD_978,0.0,Geography
347,BENE_COUNTY_CD_977,0.0,Geography
346,BENE_COUNTY_CD_976,0.0,Geography
252,BENE_COUNTY_CD_795,0.0,Geography
213,BENE_COUNTY_CD_701,0.0,Geography
250,BENE_COUNTY_CD_793,0.0,Geography
118,BENE_COUNTY_CD_330,0.0,Geography
126,BENE_COUNTY_CD_360,0.0,Geography
125,BENE_COUNTY_CD_350,0.0,Geography
124,BENE_COUNTY_CD_343,0.0,Geography
123,BENE_COUNTY_CD_342,0.0,Geography
122,BENE_COUNTY_CD_341,0.0,Geography
121,BENE_COUNTY_CD_340,0.0,Geography
120,BENE_COUNTY_CD_34,0.0,Geography
119,BENE_COUNTY_CD_331,0.0,Geography
117,BENE_COUNTY_CD_328,0.0,Geography
128,BENE_COUNTY_CD_362,0.0,Geography
116,BENE_COUNTY_CD_321,0.0,Geography
114,BENE_COUNTY_CD_312,0.0,Geography
113,BENE_COUNTY_CD_311,0.0,Geography
112,BENE_COUNTY_CD_310,0.0,Geography
111,BENE_COUNTY_CD_301,0.0,Geography
110,BENE_COUNTY_CD_300,0.0,Geography
109,BENE_COUNTY_CD_30,0.0,Geography
108,BENE_COUNTY_CD_292,0.0,Geography
127,BENE_COUNTY_CD_361,0.0,Geography
129,BENE_COUNTY_CD_370,0.0,Geography
106,BENE_COUNTY_CD_290,0.0,Geography
141,BENE_COUNTY_CD_421,0.0,Geography
150,BENE_COUNTY_CD_470,0.0,Geography
149,BENE_COUNTY_CD_462,0.0,Geography
148,BENE_COUNTY_CD_461,0.0,Geography
147,BENE_COUNTY_CD_460,0.0,Geography
146,BENE_COUNTY_CD_451,0.0,Geography
145,BENE_COUNTY_CD_450,0.0,Geography
144,BENE_COUNTY_CD_441,0.0,Geography
142,BENE_COUNTY_CD_430,0.0,Geography
140,BENE_COUNTY_CD_420,0.0,Geography
130,BENE_COUNTY_CD_380,0.0,Geography
139,BENE_COUNTY_CD_412,0.0,Geography
138,BENE_COUNTY_CD_411,0.0,Geography
137,BENE_COUNTY_CD_410,0.0,Geography
135,BENE_COUNTY_CD_40,0.0,Geography
134,BENE_COUNTY_CD_392,0.0,Geography
133,BENE_COUNTY_CD_391,0.0,Geography
132,BENE_COUNTY_CD_390,0.0,Geography
131,BENE_COUNTY_CD_381,0.0,Geography
107,BENE_COUNTY_CD_291,0.0,Geography
105,BENE_COUNTY_CD_288,0.0,Geography
249,BENE_COUNTY_CD_792,0.0,Geography
65,BENE_COUNTY_CD_111,0.0,Geography
75,BENE_COUNTY_CD_160,0.0,Geography
74,BENE_COUNTY_CD_150,0.0,Geography
71,BENE_COUNTY_CD_14,0.0,Geography
70,BENE_COUNTY_CD_131,0.0,Geography
69,BENE_COUNTY_CD_130,0.0,Geography
68,BENE_COUNTY_CD_120,0.0,Geography
67,BENE_COUNTY_CD_117,0.0,Geography
66,BENE_COUNTY_CD_113,0.0,Geography
64,BENE_COUNTY_CD_110,0.0,Geography
78,BENE_COUNTY_CD_180,0.0,Geography
63,BENE_COUNTY_CD_11,0.0,Geography
62,BENE_COUNTY_CD_100,0.0,Geography
61,BENE_COUNTY_CD_10,0.0,Geography
60,BENE_COUNTY_CD_1,0.0,Geography
55,2008_HMO_INSUR_CVRAGE_TOT_MONS,0.0,Coverage
26,2008_has_Additional GI/Hepatic burden,0.0,Disease
9,2008_has_Cancer,0.0,Disease
8,2008_has_Administrative_screening_aftercare,0.0,Disease
76,BENE_COUNTY_CD_161,0.0,Geography
79,BENE_COUNTY_CD_190,0.0,Geography
104,BENE_COUNTY_CD_281,0.0,Geography
92,BENE_COUNTY_CD_223,0.0,Geography
102,BENE_COUNTY_CD_271,0.0,Geography
101,BENE_COUNTY_CD_270,0.0,Geography
99,BENE_COUNTY_CD_251,0.0,Geography
97,BENE_COUNTY_CD_25,0.0,Geography
96,BENE_COUNTY_CD_241,0.0,Geography
95,BENE_COUNTY_CD_240,0.0,Geography
94,BENE_COUNTY_CD_230,0.0,Geography
93,BENE_COUNTY_CD_224,0.0,Geography
91,BENE_COUNTY_CD_222,0.0,Geography
80,BENE_COUNTY_CD_191,0.0,Geography
90,BENE_COUNTY_CD_221,0.0,Geography
89,BENE_COUNTY_CD_220,0.0,Geography
88,BENE_COUNTY_CD_213,0.0,Geography
87,BENE_COUNTY_CD_212,0.0,Geography
86,BENE_COUNTY_CD_211,0.0,Geography
85,BENE_COUNTY_CD_210,0.0,Geography
84,BENE_COUNTY_CD_201,0.0,Geography
81,BENE_COUNTY_CD_194,0.0,Geography
151,BENE_COUNTY_CD_471,0.0,Geography
152,BENE_COUNTY_CD_480,0.0,Geography
155,BENE_COUNTY_CD_500,0.0,Geography
216,BENE_COUNTY_CD_710,0.0,Geography
225,BENE_COUNTY_CD_741,0.0,Geography
223,BENE_COUNTY_CD_734,0.0,Geography
222,BENE_COUNTY_CD_731,0.0,Geography
221,BENE_COUNTY_CD_730,0.0,Geography
220,BENE_COUNTY_CD_722,0.0,Geography
219,BENE_COUNTY_CD_720,0.0,Geography
218,BENE_COUNTY_CD_712,0.0,Geography
217,BENE_COUNTY_CD_711,0.0,Geography
215,BENE_COUNTY_CD_703,0.0,Geography
227,BENE_COUNTY_CD_743,0.0,Geography
214,BENE_COUNTY_CD_702,0.0,Geography
211,BENE_COUNTY_CD_70,0.0,Geography
210,BENE_COUNTY_CD_691,0.0,Geography
208,BENE_COUNTY_CD_681,0.0,Geography
207,BENE_COUNTY_CD_680,0.0,Geography
206,BENE_COUNTY_CD_672,0.0,Geography
205,BENE_COUNTY_CD_671,0.0,Geography
204,BENE_COUNTY_CD_670,0.0,Geography
226,BENE_COUNTY_CD_742,0.0,Geography
228,BENE_COUNTY_CD_744,0.0,Geography
156,BENE_COUNTY_CD_510,0.0,Geography
239,BENE_COUNTY_CD_770,0.0,Geography
248,BENE_COUNTY_CD_791,0.0,Geography
247,BENE_COUNTY_CD_790,0.0,Geography
246,BENE_COUNTY_CD_785,0.0,Geography
245,BENE_COUNTY_CD_784,0.0,Geography
244,BENE_COUNTY_CD_783,0.0,Geography
243,BENE_COUNTY_CD_782,0.0,Geography
241,BENE_COUNTY_CD_772,0.0,Geography
240,BENE_COUNTY_CD_771,0.0,Geography
238,BENE_COUNTY_CD_761,0.0,Geography
229,BENE_COUNTY_CD_750,0.0,Geography
237,BENE_COUNTY_CD_760,0.0,Geography
236,BENE_COUNTY_CD_758,0.0,Geography
235,BENE_COUNTY_CD_757,0.0,Geography
234,BENE_COUNTY_CD_756,0.0,Geography
233,BENE_COUNTY_CD_755,0.0,Geography
232,BENE_COUNTY_CD_754,0.0,Geography
231,BENE_COUNTY_CD_752,0.0,Geography
230,BENE_COUNTY_CD_751,0.0,Geography
203,BENE_COUNTY_CD_662,0.0,Geography
202,BENE_COUNTY_CD_661,0.0,Geography
200,BENE_COUNTY_CD_654,0.0,Geography
167,BENE_COUNTY_CD_550,0.0,Geography
175,BENE_COUNTY_CD_570,0.0,Geography
174,BENE_COUNTY_CD_564,0.0,Geography
173,BENE_COUNTY_CD_563,0.0,Geography
172,BENE_COUNTY_CD_562,0.0,Geography
171,BENE_COUNTY_CD_561,0.0,Geography
170,BENE_COUNTY_CD_560,0.0,Geography
169,BENE_COUNTY_CD_552,0.0,Geography
168,BENE_COUNTY_CD_551,0.0,Geography
166,BENE_COUNTY_CD_55,0.0,Geography
199,BENE_COUNTY_CD_653,0.0,Geography
165,BENE_COUNTY_CD_542,0.0,Geography
164,BENE_COUNTY_CD_541,0.0,Geography
162,BENE_COUNTY_CD_531,0.0,Geography
161,BENE_COUNTY_CD_530,0.0,Geography
160,BENE_COUNTY_CD_522,0.0,Geography
159,BENE_COUNTY_CD_521,0.0,Geography
158,BENE_COUNTY_CD_520,0.0,Geography
157,BENE_COUNTY_CD_511,0.0,Geography
176,BENE_COUNTY_CD_580,0.0,Geography
177,BENE_COUNTY_CD_581,0.0,Geography
178,BENE_COUNTY_CD_582,0.0,Geography
180,BENE_COUNTY_CD_591,0.0,Geography
198,BENE_COUNTY_CD_652,0.0,Geography
197,BENE_COUNTY_CD_651,0.0,Geography
196,BENE_COUNTY_CD_650,0.0,Geography
195,BENE_COUNTY_CD_641,0.0,Geography
194,BENE_COUNTY_CD_640,0.0,Geography
193,BENE_COUNTY_CD_632,0.0,Geography
192,BENE_COUNTY_CD_631,0.0,Geography
191,BENE_COUNTY_CD_630,0.0,Geography
189,BENE_COUNTY_CD_621,0.0,Geography
188,BENE_COUNTY_CD_620,0.0,Geography
187,BENE_COUNTY_CD_612,0.0,Geography
186,BENE_COUNTY_CD_611,0.0,Geography
185,BENE_COUNTY_CD_610,0.0,Geography
184,BENE_COUNTY_CD_601,0.0,Geography
183,BENE_COUNTY_CD_600,0.0,Geography
182,BENE_COUNTY_CD_60,0.0,Geography
181,BENE_COUNTY_CD_592,0.0,Geography
425,STATE_WY,0.0,Geography
