family,LR,RF,XGB
Geography,95.9841103996458,4.505932885967364,10.355003278697136
Disease,1.0682515605205125,25.96025697305021,22.43714545889782
Utilization,1.026891366465936,16.48693475656393,24.77183247555386
Cost,0.7326693712165938,41.117681706544445,18.672757823052173
Demographics,0.6544922360843889,3.34731873253264,1.3818250372075565
Coverage,0.3874279695902139,1.539166188625274,1.162999088148162
Chronic Count,0.1199360643735324,5.034636000339365,1.478734021219588
Risk,0.0262210321030152,2.008072756376768,19.739702817223694
